number,formid,form.sampleid,form.barcode,form.sampleid_no_match,form.sample_type,form.study_type,form.p_location,form.t_location,form.s_location,form.ec_dd,form.ec_th,form.ev_lat_lon,form.ev_way,form.ev_way_deviceID,form.neighbor,form.source_ty_ocean,form.other_source_ocean,form.produce_type,form.produce_quantity,form.water_level,form.water_flow,form.drain_size,form.drain_lining,form.currently_raining,form.rain_last_day,form.feces_near,form.animals_near,form.housolds_present,form.num_households_present,form.schools_present,form.pub_latrines_present,form.hh_latrines_present,form.orn_ag_present,form.businesses_present,form.source_ty,form.other_source,form.containr,form.covered,form.free_cl,form.total_cl,form.surface_source_ty,form.surface_source_ty_other,form.source_dist,form.particle_sample_type,form.particle_sample_type_other,form.swab_surface,form.swab_surface_other,form.source_type,form.source_type_other,form.n_stall,form.vis_fec,form.latrine_user_num,form.hw_stat,form.dis_lat,form.notes,form.collection_enumerator_names,form.@uiVersion,openrosa_headers.HTTP_X_OPENROSA_VERSION,date_header,auth_context.doc_type,auth_context.domain,form.collector_id,auth_context.user_id,_rev,computed_modified_on_,form.meta.location.@xmlns,form.ev_notes,auth_context.authenticated,form.#type,initial_processing_complete,form.sample_weight,path,domain,completed_time,started_time,username,received_on,caseid,case_name
520,51dc439b-fdb1-4d97-b6a2-5322c494bd67,581,581,---,1,T,---,2,---,2016-07-19,10:07:00.000Z,5.5733134 -0.20982127 85.0 5.0,581,WRI 3,Kokomlemle,---,---,---,---,1,2,1,1,0,0,0,0,0,---,1,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,drain filled with plastic bags,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-e1ed10ef11b4cecd97fa0420222545df,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-19 10:09:10,2016-07-19 10:07:19,rkuddy,2016-07-19 10:09:25,---,---
521,53336d6a-f650-410e-936c-45d1a5cc8e8e,496,496,---,8,---,---,---,---,2016-07-05,12:31:00.000Z,5.57602419 -0.20475567 51.0 5.0,496,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,110,school field swabbed.Within 3m of open drain,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-b3444dd207e06e70be9e0b2403954ede,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-05 12:32:58,2016-07-05 12:30:48,rkuddy,2016-07-05 12:39:50,---,---
522,574f61df-afdb-40ff-a9fb-d73ff778af98,205,205,---,8,---,---,---,---,2016-05-11,10:42:00.000Z,5.5297027 -0.24404844 41.0 4.0,205,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,9999,within 3m of open drain,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-abc94bd45d3844871619fb8d7e716fef,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-11 21:44:25,2016-05-11 21:42:24,rkuddy,2016-05-11 10:44:59,---,---
523,4a899bdc-c155-4b1a-9160-00ee9b3ffae7,353,353,---,7,---,---,---,---,2016-06-20,10:32:00.000Z,5.55749691 -0.21351521 20.0 5.0,353,WRI 5,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,4,0,---,N/A,CKAF,1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-d4bf649ff62d4d67f591f89ffbef509f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-20 10:36:51,2016-06-20 10:29:50,cafrimpong,2016-06-22 09:54:34,---,---
524,4a8c3479-9e76-4167-889a-862cf95d2295,412,412,---,3,---,---,---,---,2016-06-24,10:36:00.000Z,5.55414667 -0.18647912 45.0 5.0,412,WRI 3,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.01,0.18,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-8908cc1385ba81544b538adab9f80993,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-24 10:40:36,2016-06-24 10:35:38,rkuddy,2016-06-24 10:42:34,---,---
525,52e94877-c8b2-4c1a-8a90-657b6a967052,545,545,---,1,S,---,---,11,2016-07-18,12:36:00.000Z,5.57809648 -0.21126647 63.0 5.0,545,WRI 3,Kokomlemle,---,---,---,---,1,1,2,1,0,0,0,0,1,2,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,within 3m of trash,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-d93e7ff64cb4af103ec5949a0d93f50f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-18 12:39:13,2016-07-18 12:34:57,rkuddy,2016-07-18 12:39:20,---,---
526,2cb7eb71-cbd0-49d9-b6a5-6ff2eebe4561,574,574,---,7,---,---,---,---,2016-07-20,11:20:00.000Z,5.57857649 -0.21519865 62.0 5.0,574,WRI 5,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,2,1,---,N/A,CKAF,1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-1bad55e972dfcfa7ebda701274be9644,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-20 11:21:53,2016-07-20 11:20:21,cafrimpong,2016-07-21 10:04:13,---,---
527,2eabfa0f-becb-4e84-ba2b-946acb43a26d,595,595,---,7,---,---,---,---,2016-07-20,11:20:00.000Z,5.57902987 -0.21335631 60.0 5.0,595,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,4,---,1,1,9999,0,---,latrine door handle swabbed,RK,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-3f7e981bb0516717b781b3b5ed31f01b,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-20 11:23:12,2016-07-20 11:20:20,rkuddy,2016-07-21 14:15:48,---,---
528,326a2527-6f6f-423f-8818-c5c72b7af1eb,165,165,---,7,---,---,---,---,2016-05-10,09:53:00.000Z,5.5269955 -0.24987564 29.0 5.0,165,WRI 5,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,"public latrine, door handle",4,---,3,1,20,1,---,N/A,"CKAF, MC",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-2d0a9faec28df2a415dfbeeec42d22c4,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-10 09:56:28,2016-05-10 09:52:51,cafrimpong,2016-06-03 17:11:26,---,---
529,3219e217-3b46-4d23-bb35-cdf82d483ea6,420,420,---,2,---,---,---,---,2016-06-22,09:53:00.000Z,5.55531153 -0.18702491 34.0 4.0,420,WRI 2,Ringway,---,---,tomatoes,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,within 3m of open drain,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-d713705303b266d0598512df7e62d194,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-22 09:54:58,2016-06-22 09:53:18,rkuddy,2016-06-22 09:56:47,---,---
530,322d4cad-5a01-4c59-bad3-9f11da626212,331,331,---,1,S,---,---,2,2016-06-15,09:51:00.000Z,5.56413071 -0.20722062 32.0 5.0,29,WRI 2,Adabraka,---,---,---,---,1,2,1,1,0,0,0,0,1,2,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 3m of construction site,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-ab551a94604d27f6f8fb5ff981d65328,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-15 09:53:14,2016-06-15 09:50:51,rkuddy,2016-06-16 08:43:40,---,---
531,2f2d7ac5-f266-4487-9182-ec12d1d036b9,335,335,---,6,---,---,---,---,2016-06-16,09:58:00.000Z,5.56339038 -0.21280657 53.0 5.0,335,WRI 2,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9999,Within 3m of dry open drain,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-125b637bc3267606a71b19451b76c149,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-16 10:00:06,2016-06-16 09:58:04,rkuddy,2016-06-16 10:02:02,---,---
532,371e0595-8562-4747-bb32-8417846d69f3,260,260,---,3,---,---,---,---,2016-06-07,09:47:00.000Z,5.56183511 -0.21042146 54.0 5.0,260,WRI4,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.02,0.05,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 3m of trash and stagnant water on the rain water.,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-670aa19220bc3fb77b76d6ea2fa48d14,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-07 09:54:06,2016-06-07 09:46:35,bnbboye,2016-06-07 09:55:57,---,---
533,36ee207d-29fc-4455-81e5-9abd35d121f7,602,602,---,7,---,---,---,---,2016-07-20,10:45:00.000Z,5.57682419 -0.21211938 50.0 3.0,602,WRI 0,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,9999,0,---,Swabbed latrine door handle,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-0a9825714b75884ab28cd553a484158e,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/b0c6c9eed07efd4152b520f29308a973/,sp-accra,2016-07-20 10:46:28,2016-07-20 10:44:45,bnbboye,2016-07-21 08:19:57,---,---
534,36fc8ab5-a417-4822-9e31-f2bbd0653280,485,485,---,7,---,---,---,---,2016-07-08,10:51:00.000Z,5.55470991 -0.18681224 49.0 5.0,485,WRI5,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,9999,1,---,Swabbed latrine walls,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-6e3321cad310d154e1e05c14ad8e7326,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/b0c6c9eed07efd4152b520f29308a973/,sp-accra,2016-07-08 10:52:35,2016-07-08 10:50:55,bnbboye,2016-07-08 10:52:51,---,---
535,2d224532-899d-43c8-9d68-a887d2a3a9a9,438,438,---,1,S,---,---,24,2016-06-29,11:23:00.000Z,5.56233007 -0.19418024 51.0 5.0,438,WRI4,Ringway,---,---,---,---,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"BNBB, CFK, MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-6473621db49a1c863ee0e303e79094f9,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-29 11:25:42,2016-06-29 11:22:24,mchrisk,2016-07-04 09:40:43,---,---
536,387079ef-26e9-4463-a02f-836638eb6801,796,796,---,7,---,---,---,---,2016-04-28,11:05:00.000Z,5.52951834 -0.25114747 43.0 5.0,2225,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,7,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-27f82d7b4b041c66ccbf741f97e791cf,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-28 22:09:50,2016-04-28 22:05:07,rkuddy,2016-05-03 09:15:47,---,---
537,0c3efda6-ead9-4759-95d9-dd02b2c1e99f,766,766,---,7,---,---,---,---,2016-04-27,11:23:00.000Z,5.5285037 -0.24438179 53.0 5.0,2214,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,10,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-428ce732061d7cc0631fd1e2305dd033,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 22:24:54,2016-04-27 22:22:14,rkuddy,2016-04-27 11:25:31,---,---
538,10f27586-ab1f-4909-af09-f5ab1b397003,123,123,---,3,---,---,---,---,2016-05-04,11:59:00.000Z,5.52943992 -0.24433696 44.0 5.0,123,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.1,0.2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,household latrine 3m from site,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-6680384b3a9399f8c37e2c13edfb0588,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-04 12:08:26,2016-05-04 11:59:07,cafrimpong,2016-06-03 17:10:50,---,---
539,0daf34a8-11d6-49ac-a544-9fb5fc03ad52,101,101,---,3,---,---,---,---,2016-05-03,10:38:00.000Z,5.52797455 -0.23719284 59.0 9.0,101,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,1,1,0.07,0.15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N\A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-6d37ed300bea62b1b39d541da622e094,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-03 10:45:54,2016-05-03 10:31:01,mchrisk,2016-05-03 10:45:59,---,---
540,0dfc94c9-b5cc-4acb-9d92-35a4b8e9f3ed,738,738,---,7,---,---,---,---,2016-04-27,12:44:00.000Z,5.52970064 -0.23722675 51.0 7.0,8119,SP 3,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,2,---,2,0,9999,0,---,Faeces visible on toilet seats,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-bc503cb0a6bc6eb27b51aaeff57c434c,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 12:53:34,2016-04-27 12:43:21,mchrisk,2016-04-27 12:53:38,---,---
541,060d3411-d34b-44d4-be98-7d02d342531f,466,466,---,2,---,---,---,---,2016-07-04,10:11:00.000Z,5.58052002 -0.20836972 59.0 5.0,466,WRI 4,Kokomlemle,---,---,Cabbage,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within mallata main market,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-77562be3cc2d44d3ef94b30e84894aad,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-04 10:13:38,2016-07-04 10:09:38,mchrisk,2016-07-04 10:13:44,---,---
542,131b8396-ca85-455c-85f1-91aa83a8298e,341,341,---,1,S,---,---,12,2016-06-13,12:29:00.000Z,5.56559198 -0.20980443 77.0 5.0,12,WRI 15,Adabraka,---,---,---,---,1,2,1,1,0,1,0,0,0,---,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"Within 3m of a business venture, very little water in drain, drain silted","MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-4e36c26fdea22620cf10c1102fc78b2c,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-13 12:32:52,2016-06-13 12:28:17,mchrisk,2016-06-13 12:32:58,---,---
543,0ae09ea8-c925-43bf-af82-46dc43b7b812,575,575,---,7,---,---,---,---,2016-07-20,12:13:00.000Z,5.57746384 -0.21365296 91.0 5.0,575,WRI 5,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,1,5,0,---,N/A,CKAF,1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-b2ea8dc75c265671a1525f11e132ec48,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-20 12:15:46,2016-07-20 12:12:57,cafrimpong,2016-07-21 10:04:16,---,---
544,0a680f47-25a8-4277-bc94-3743377153ea,516,516,---,3,---,---,---,---,2016-07-04,11:13:00.000Z,5.57935361 -0.20423311 42.0 5.0,516,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.03,0.15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,within 3m of open drain,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-c92481a2cf3ffa92428c8254e483049a,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-04 11:18:21,2016-07-04 11:12:11,rkuddy,2016-07-04 11:20:22,---,---
545,1470413b-ab06-477f-901d-33035d4cd740,482,482,---,7,---,---,---,---,2016-07-08,10:14:00.000Z,5.55353966 -0.18502385 40.0 5.0,482,WRI5,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,9999,0,---,N/A,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-742ab6708599f512fc3e1e7a784414d4,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/b0c6c9eed07efd4152b520f29308a973/,sp-accra,2016-07-08 10:17:20,2016-07-08 10:13:25,bnbboye,2016-07-08 10:31:31,---,---
546,1de71abe-00f8-4a0c-8a4d-d612a10fd46a,273,273,---,1,S,---,---,3,2016-06-13,10:43:00.000Z,5.56782057 -0.21284756 45.0 5.0,3,WRI 2,Adabraka,---,---,---,---,1,1,1,1,0,1,0,0,1,2,0,0,1,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Drain was located in a household,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-d015e4222ecd70b6155fbf788fe397eb,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-13 10:45:49,2016-06-13 10:43:24,rkuddy,2016-06-13 10:55:37,---,---
547,1852d9b2-f5d1-4369-95c7-a9ae92680788,590,590,---,7,---,---,---,---,2016-07-20,10:25:00.000Z,5.57674465 -0.21094657 56.0 5.0,590,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,5,---,1,0,8,0,---,NA,RK,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-fb91d5bab8937345db872ab85ce163be,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-20 10:27:10,2016-07-20 10:24:51,rkuddy,2016-07-20 10:27:18,---,---
548,202ba18f-053a-4f2c-8e94-a7c2c14ea234,215,215,---,1,S,---,---,10,2016-05-17,09:47:00.000Z,5.52716142 -0.23942648 45.0 6.0,10,WRI 15,Chorkor,---,---,---,---,1,1,1,1,0,0,0,0,1,6,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Drain filled with trash,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-68b4cfa3c6c64171667bd2c9abd947e6,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-17 10:03:36,2016-05-17 09:25:45,mchrisk,2016-05-17 11:31:51,---,---
549,1547cddd-c6a1-44e1-a6c4-108b4e6eab9a,151,151,---,4,---,---,---,---,2016-05-09,09:54:00.000Z,5.52342755 -0.2515871 21.0 3.0,151,WRI 15,Chorkor,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-7446506c8c01b94657b46a3e1680dd1a,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-09 09:55:48,2016-05-09 09:54:21,mchrisk,2016-05-11 11:48:52,---,---
550,17899823-4f20-46bc-ad6d-0dc01b8c814f,469,469,---,3,---,---,---,---,2016-07-04,12:11:00.000Z,5.57741686 -0.20935059 67.0 5.0,469,WRI 4,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,---,1,1,0.02,0.09,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Sample taken from polytank connected directly to treated borehole,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-d47d85500f2d76397a5209a6b38c5e60,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-04 12:20:26,2016-07-04 12:11:19,mchrisk,2016-07-04 12:20:35,---,---
551,21fe3c0f-01eb-4ced-be05-85841d3c4916,227,227,---,1,P,4,---,---,2016-05-19,12:07:00.000Z,5.53262104 -0.24214081 49.0 5.0,227,WRI 15,Chorkor,---,---,---,---,1,2,1,1,0,0,0,0,1,2,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Drain filled with trash and silt preventing flow,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-3d64fe2746132c676cefdebd32f1cdc6,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-19 12:11:45,2016-05-19 12:04:42,mchrisk,2016-05-19 12:11:53,---,---
552,2410b5af-5d61-4f72-a608-58aa4c522a2a,171,171,---,8,---,---,---,---,2016-05-09,10:06:00.000Z,5.52396024 -0.24889914 3.0 4.0,171,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,2,---,---,---,---,---,---,---,---,---,9999,within 3m of trash and open drain directly into the ocean,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-8e3b732cf7e815ad78e5eee8beca71b3,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-09 21:09:27,2016-05-09 21:06:29,rkuddy,2016-05-09 10:11:37,---,---
